,ORIGEN,DESTINO,POR RENDIR S/
0,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
2,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",250
3,"Lurin, Lima, Peru","Trujillo, Peru",250
4,Arequipa,AQP Sistemas S.A.C,150
5,"Lurin, Lima, Peru","Arequipa, Peru",300
10,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
11,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
14,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
15,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
16,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
17,"Arequipa, Peru","Nicolas Ayllon, Lima, Peru",400
18,"Arequipa, Peru","Nicolas Ayllon, Lima, Peru",300
20,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
21,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
22,"Trujillo, Peru","Nicolas Ayllon, Lima, Peru",250
23,"Trujillo, Peru","Nicolas Ayllon, Lima, Peru",250
24,"Huaraz, Peru","Chiclayo, Peru",300
28,"Divemotor Panamericana Sur, Lima, Peru","Cerro de Pasco, Peru",200
29,"Lurin, Lima, Peru","Trujillo, Peru",200
30,"Lurin, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
31,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",400
32,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",250
35,"Icalu, Lima, Peru","Trujillo, Peru",250
36,"Icalu, Lima, Peru","Trujillo, Peru",250
37,"Divemotor Panamericana Sur, Lima, Peru","Cerro de Pasco, Peru",200
39,"Famedi, Lima, Peru","Lurin, Lima, Peru",100
40,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
45,"Lurin, Lima, Peru","Arequipa, Peru",500
47,"Lurin, Lima, Peru","Arequipa, Peru",350
48,"Lurin, Lima, Peru","Arequipa, Peru",350
49,"Lurin, Lima, Peru","Arequipa, Peru",350
50,"Lurin, Lima, Peru","Arequipa, Peru",350
52,"Lurin, Lima, Peru","Arequipa, Peru",350
54,"Trujillo, Peru","Divemotor Panamericana Sur, Lima, Peru",200
55,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
56,"Cajamarca, Peru","Suc. Lambayeque, Peru",200
57,"Suc. Huancayo, Peru","Ayacucho, Peru",400
88,"Lurin, Lima, Peru","Arequipa, Peru",350
89,"Lurin, Lima, Peru","Arequipa, Peru",350
90,"Lurin, Lima, Peru","Arequipa, Peru",350
91,"Lurin, Lima, Peru","Cerro de Pasco, Peru",400
92,"Lurin, Lima, Peru","Cerro de Pasco, Peru",200
93,"Lurin, Lima, Peru","Cerro de Pasco, Peru",200
97,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",400
130,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
209,"Lurin, Lima, Peru","Icalu, Lima, Peru",50
210,"Z1, Lima, Peru","Lurin, Lima, Peru",50
211,"Z1, Lima, Peru","Lurin, Lima, Peru",50
212,"Z1, Lima, Peru","Lurin, Lima, Peru",50
213,"Z1, Lima, Peru","Lurin, Lima, Peru",50
214,"Z1, Lima, Peru","Lurin, Lima, Peru",50
215,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
216,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
217,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
219,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
220,"Famedi, Lima, Peru","Lurin, Lima, Peru",150
221,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
222,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
229,"Sahuanay & cia S.A.C, Lima, Peru","Lurin, Lima, Peru",50
230,"Arequipa, Peru","RMB, Lima, Peru",500
231,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
232,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
236,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
239,"Lurin, Lima, Peru","Local Cliente / Famedi, Lima, Peru",50
240,"Divemotor Panamericana Sur, Lima, Peru","Trujillo, Peru",150
241,"Divemotor Panamericana Sur, Lima, Peru","Trujillo, Peru",150
248,"Lurin, Lima, Peru","Trujillo, Peru",200
249,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",150
250,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
251,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
252,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
253,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
254,"Lurin, Lima, Peru","RMB, Lima, Peru",50
255,"Lurin, Lima, Peru","RMB, Lima, Peru",50
256,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
257,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
258,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
259,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
260,"Av. Canada, Lima, Peru","Trujillo, Peru",200
261,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
264,"Nicolas Ayllon, Lima, Peru","Faucett, Lima, Peru",50
266,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
267,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
268,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
270,"Faucett, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
271,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
272,"Lurin, Lima, Peru","Suc. Piura, Peru",350
273,"Lurin, Lima, Peru","Trujillo, Peru",250
274,"Lurin, Lima, Peru","Trujillo, Peru",250
275,"Macropolis, Lima, Peru","Arequipa, Peru",250
276,"Macropolis, Lima, Peru","Arequipa, Peru",250
284,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
285,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
286,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
288,"Macropolis, Lima, Peru","Cusco, Peru",300
289,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
290,"Cajamarca, Peru","Piura, Peru",200
291,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
292,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
293,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
294,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
302,"Macropolis, Lima, Peru","Canada, Lima, Peru",50
305,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
307,"Lurin, Lima, Peru","Inka lider Automotriz, Peru",200
308,"Lurin, Lima, Peru","Inka lider Automotriz, Peru",200
309,"Lurin, Lima, Peru","Inka lider Automotriz, Peru",200
310,"Lurin, Lima, Peru","Inka lider Automotriz, Peru",200
311,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
312,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
313,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
314,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
315,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
316,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
317,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
318,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
319,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
320,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
324,"Incamotors Arequipa, Peru","Macropolis, Lima, Peru",250
332,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
337,"Lurin, Lima, Peru","Trujillo, Peru",200
338,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",200
339,"Macropolis, Lima, Peru","Trujillo, Peru",200
343,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
344,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
345,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
346,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
348,"Mcm, Lima, Peru","Lurin, Lima, Peru",50
350,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
351,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
352,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
353,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
354,"Suc. Huancayo, Peru","Lurin, Lima, Peru",200
358,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
359,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
360,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
364,"Lurin, Lima, Peru","Trujillo, Peru",200
366,"Divemotor Panamericana Sur, Lima, Peru","Cerro de Pasco, Peru",200
367,"Cusco, Peru","Macropolis, Lima, Peru",150
368,"Trujillo, Peru","Tumbes, Peru",350
369,"Suc. Piura, Peru","Tumbes, Peru",350
370,"Suc. Piura, Peru","Tumbes, Peru",350
373,"Samred, Lima, Peru","Lurin, Lima, Peru",0
374,"Samred, Lima, Peru","Lurin, Lima, Peru",0
375,"Samred, Lima, Peru","Lurin, Lima, Peru",0
376,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
377,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
378,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
379,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
380,"Macropolis, Lima, Peru","Apple Glass, Lima, Peru",50
382,"Lurin, Lima, Peru","Arequipa, Peru",300
383,"Lurin, Lima, Peru","Arequipa, Peru",700
384,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
385,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
386,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
387,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",600
388,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",600
389,"Macropolis, Lima, Peru","Metalval, Peru",1200
390,"Macropolis, Lima, Peru","Metalval, Peru",1200
391,"Macropolis, Lima, Peru","Metalval, Peru",0
392,"Macropolis, Lima, Peru","Metalval, Peru",0
393,Arequipa,Estadio UNSA,0
394,Estadio UNSA,Arequipa,0
395,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
396,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
397,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
398,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
399,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
400,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
401,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
402,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
403,"Trujillo, Peru","Huaraz, Peru",300
404,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
405,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
406,"Macropolis, Lima, Peru","Samred, Lima, Peru",50
407,"Macropolis, Lima, Peru","Samred, Lima, Peru",50
409,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
410,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
411,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
412,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
413,"Macropolis, Lima, Peru","Trujillo, Peru",300
414,"Av. Canada, Lima, Peru","Trujillo, Peru",350
415,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
416,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
417,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
418,"Lurin, Lima, Peru","Cajamarca, Peru",330
419,"Macropolis, Lima, Peru","Trujillo, Peru",250
420,"Lurin, Lima, Peru","Incamotors Arequipa, Peru",250
422,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
423,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
424,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
425,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
426,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
427,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
428,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
429,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
432,"Nicolas Ayllon, Lima, Peru","Lurin, Lima, Peru",50
433,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
434,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
435,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
436,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
437,"Macropolis, Lima, Peru","Samred, Lima, Peru",0
438,"Macropolis, Lima, Peru","Samred, Lima, Peru",0
439,"Macropolis, Lima, Peru","Samred, Lima, Peru",0
440,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",450
441,"Lurin, Lima, Peru","Concesionario Tacna, Peru",350
442,"Lurin, Lima, Peru","Local Del Cliente (Chilca), Lima, Peru",50
443,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
444,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
445,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
446,"RMB, Lima, Peru","Samred, Lima, Peru",0
447,"Lurin, Lima, Peru","Arequipa, Peru",300
448,"Av. Canada, Lima, Peru","Lurin, Lima, Peru",0
449,"Macropolis, Lima, Peru","MCM SOLUTIONS srl, Lima, Peru",0
450,"Apple Glass, Lima, Peru","Lurin, Lima, Peru",0
451,"Lurin, Lima, Peru","Cusco, Peru",0
452,"Lurin, Lima, Peru","Cusco, Peru",400
453,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
454,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
455,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
456,"Lurin, Lima, Peru","Arequipa, Peru",0
457,"Apple Glass, Lima, Peru","Lurin, Lima, Peru",150
458,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",0
459,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",0
460,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",200
461,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
462,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
463,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
464,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
465,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
466,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
467,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
473,"Metalval, Peru","Divemotor Panamericana Sur, Lima, Peru",200
474,"Metalval, Peru","Divemotor Panamericana Sur, Lima, Peru",200
475,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
476,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
477,"Comisaria Pachacamac, Lima, Peru","Macropolis, Lima, Peru",0
478,"Suc. Piura, Peru","Lurin, Lima, Peru",400
479,"Suc. Piura, Peru","Lurin, Lima, Peru",500
480,"Nicolas Ayllon, Lima, Peru","Solis, Lima, Peru",0
481,"Canada, Lima, Peru","Cerro de Pasco, Peru",200
482,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",50
483,"Lurin, Lima, Peru","Arequipa, Peru",300
484,Arequipa,Local Exhibicion Arequipa,0
485,Arequipa,Local Exhibicion Arequipa,0
486,"Macropolis, Lima, Peru","RMB, Lima, Peru",0
487,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
488,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
489,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
490,"Lurin, Lima, Peru","Cusco, Peru",350
491,"Nicolas Ayllon, Lima, Peru","Suc. Huancayo, Peru",200
492,"Nicolas Ayllon, Lima, Peru","Suc. Huancayo, Peru",200
493,"Nicolas Ayllon, Lima, Peru","Suc. Huancayo, Peru",200
494,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",0
495,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",350
496,"Nicolas Ayllon, Lima, Peru","Local Exhibicion Nasca, Peru",300
498,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
499,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
500,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",100
501,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
502,"Macropolis, Lima, Peru","Puente Piedra, Lima, Peru",50
503,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
504,"Faucett, Lima, Peru","Canada, Lima, Peru",0
505,"Lurin, Lima, Peru","Trujillo, Peru",300
506,"Lurin, Lima, Peru","Trujillo, Peru",300
507,"Lurin, Lima, Peru","Local Cliente (Huachipa), Lima, Peru",0
508,"Lurin, Lima, Peru","Trujillo, Peru",300
509,"Mercobus, Lima, Peru","Lurin, Lima, Peru",50
510,"Chosica, Lima, Peru","Av. Canada, Lima, Peru",0
511,"Metalval, Peru","Divemotor Ayllon, Peru",250
512,"Metalval, Peru","Divemotor Panamericana Sur, Lima, Peru",250
513,"Metalval, Peru","Divemotor Panamericana Sur, Lima, Peru",470
514,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
515,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
516,"Lurin, Lima, Peru","Trujillo, Peru",300
517,"Lurin, Lima, Peru","Trujillo, Peru",300
518,"Lurin, Lima, Peru","Trujillo, Peru",300
519,"Famedi, Lima, Peru","Lurin, Lima, Peru",0
520,"RMB, Lima, Peru","Lurin, Lima, Peru",0
521,"RMB, Lima, Peru","Lurin, Lima, Peru",0
522,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",50
523,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
525,"Arequipa, Peru","Lurin, Lima, Peru",200
526,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",50
527,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
529,"RMB, Lima, Peru","Lurin, Lima, Peru",0
530,"RMB, Lima, Peru","Lurin, Lima, Peru",0
531,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
532,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
533,"Canada, Lima, Peru","Apple Bus, Lima, Peru",50
534,"Nicolas Ayllon, Lima, Peru","Trujillo, Peru",200
535,Trujillo,Local Cliente Trujillo,0
536,Trujillo,Local Cliente Trujillo,0
537,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
538,"Apple Bus, Lima, Peru","Macropolis, Lima, Peru",0
539,"Apple Bus, Lima, Peru","Macropolis, Lima, Peru",50
540,"Apple Glass, Lima, Peru","Canada, Lima, Peru",50
541,"Lurin, Lima, Peru","Arequipa, Peru",250
542,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
543,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
544,"Faucett, Lima, Peru","Macropolis, Lima, Peru",50
545,"Faucett, Lima, Peru","Macropolis, Lima, Peru",0
548,"Apple Glass, Lima, Peru","Lurin, Lima, Peru",50
549,"Lurin, Lima, Peru","Local Cliente Tarma, Peru",200
550,"Lurin, Lima, Peru","Local Cliente Tarma, Peru",200
551,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
552,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
553,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
554,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
555,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
556,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
557,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
558,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
559,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
560,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
561,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
562,"RMB, Lima, Peru","Rmb Chilca, Lima, Peru",50
563,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
564,"Samred, Lima, Peru","RMB, Lima, Peru",0
565,"RMB, Lima, Peru","Lurin, Lima, Peru",50
566,"RMB, Lima, Peru","Lurin, Lima, Peru",50
567,"Lurin, Lima, Peru","Metalwork, Peru",250
568,"Macropolis, Lima, Peru","Metalwork, Peru",250
569,"Suc. Huancayo, Peru","Metalwork, Peru",350
570,"Macropolis, Lima, Peru","Rmb Chilca, Lima, Peru",50
571,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
572,"Lurin, Lima, Peru","Rmb Chilca, Lima, Peru",50
573,"Lurin, Lima, Peru","Rmb Chilca, Lima, Peru",50
574,"Av. Canada, Lima, Peru","Metalwork, Peru",400
575,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
576,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
577,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",50
578,"Cerro de Pasco, Peru","Arequipa, Peru",500
579,"Trujillo, Peru","Arequipa, Peru",800
581,"Macropolis, Lima, Peru","Metalval, Peru",200
582,"Lurin, Lima, Peru","Cajamarca, Peru",400
592,"Nicolas Ayllon, Lima, Peru","Av. Canada, Lima, Peru",50
593,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",50
594,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
595,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
596,"Tumbes, Peru","Suc. Piura, Peru",600
597,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
598,"Divemotor Panamericana Sur, Lima, Peru","Faucett, Lima, Peru",50
599,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
600,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
602,"Lurin, Lima, Peru","Canada, Lima, Peru",50
604,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
605,"Av. Canada, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
606,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
607,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
608,"Lurin, Lima, Peru","Trujillo, Peru",200
609,"Lurin, Lima, Peru","Trujillo, Peru",200
610,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",200
611,"Lurin, Lima, Peru","Jehova Work S.A.C, Peru",200
612,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
613,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
614,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
615,"Salvador Rodrigo, Lima, Peru","Lurin, Lima, Peru",50
616,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
617,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
618,"Puente Piedra, Lima, Peru","Lurin, Lima, Peru",50
619,"Faucett, Lima, Peru","RMB, Lima, Peru",50
620,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
621,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
625,"RMB, Lima, Peru","Lurin, Lima, Peru",50
631,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
632,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
633,"Lurin, Lima, Peru","Chorrillos, Lima, Peru",50
634,"Trujillo, Peru","Suc. Piura, Peru",200
636,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
